X_1,X_2,X_3,X_4,X_5,Y,E
0.7707,6.6,0.49,0.0496,0.0428,0.14,1
1.1307,6.58,0.25,0.0596,0.0428,0.14,1
0.9307,5.26,0.15,0.0396,0.0328,0.07,1
1.3007,5.7,0.26,0.0696,0.0628,0.12,1
1.1007,5.38,0.27,0.0496,0.0228,0.07,1
0.9607,6.26,0.21,0.0496,0.0328,0.11,1
0.8707,7.0,0.07,0.0396,0.0528,0.05,1
0.8207,5.44,0.32,0.0396,0.0328,0.1,1
0.6207,5.51,0.32,0.0596,0.0528,0.11,1
1.4607,6.72,0.47,0.0596,0.0628,0.13,1
1.0307,6.65,0.21,0.0496,0.0428,0.12,1
0.9707,6.89,0.15,0.0496,0.0728,0.11,5
0.9507,6.61,0.1,0.0696,0.1028,0.1,5
0.9507,6.36,0.19,0.0396,0.0728,0.11,1
1.0107,7.81,0.34,0.0396,0.0528,0.08,1
0.9207,7.03,0.42,0.0396,0.0528,0.11,5
1.0007,8.19,0.29,0.0496,0.0928,0.11,1
1.0907,8.03,0.26,0.0596,0.1028,0.17,5
1.0807,8.13,0.26,0.0396,0.0528,0.12,1
1.1107,5.57,0.19,0.0496,0.0328,0.12,1
0.8007,4.18,0.11,0.0396,0.0328,0.04,1
1.3407,6.72,0.49,0.0596,0.0328,0.1,1
0.8407,6.06,0.23,0.0496,0.0328,0.1,1
0.9007,6.73,0.22,0.0396,0.0528,0.1,1
1.0107,7.06,0.27,0.0496,0.0428,0.13,1
1.2107,5.78,0.26,0.0896,0.0828,0.13,4
0.7107,6.12,0.3,0.0496,0.0428,0.09,4
1.2607,5.46,0.15,0.0396,0.0328,0.09,1
0.7307,5.84,0.17,0.0396,0.0428,0.1,1
0.9307,6.88,0.09,0.0496,0.0528,0.09,4
0.9307,5.89,0.21,0.0496,0.0528,0.12,4
0.8807,5.11,0.38,0.0696,0.0328,0.1,1
1.1007,5.25,0.17,0.0496,0.0328,0.11,1
0.9707,4.39,0.19,0.0296,0.0228,0.07,1
1.1407,5.39,0.48,0.0396,0.0428,0.11,1
0.9707,5.65,0.16,0.0396,0.0328,0.12,1
0.7007,4.67,0.16,0.0396,0.0428,0.08,1
0.9707,7.24,0.28,0.0496,0.0428,0.11,1
1.2507,7.72,0.44,0.0696,0.0528,0.14,1
0.5607,3.31,0.18,0.0296,0.0128,0.09,1
1.0707,4.41,0.17,0.0496,0.0328,0.1,1
0.8507,7.46,0.27,0.0496,0.0628,0.12,1
0.8707,6.65,0.23,0.0396,0.0328,0.09,1
0.9507,5.45,0.17,0.0496,0.0428,0.1,1
0.5407,4.32,0.2,0.0296,0.0228,0.09,1
1.0307,5.55,0.2,0.0496,0.0328,0.07,1
0.9207,4.6,0.16,0.0496,0.0228,0.07,1
0.8807,7.0,0.22,0.0496,0.0528,0.11,1
0.7207,5.86,0.14,0.0496,0.0528,0.08,1
0.9807,6.73,0.31,0.0496,0.0628,0.12,1
1.0207,6.81,0.24,0.0296,0.0328,0.13,1
1.0507,7.88,0.2,0.0496,0.1028,0.16,1
0.6807,5.17,0.17,0.0396,0.0528,0.07,1
0.8207,7.46,0.3,0.0396,0.0528,0.09,1
0.8407,5.87,0.21,0.0396,0.0628,0.1,1
0.6407,5.23,0.26,0.0396,0.0528,0.07,1
1.2707,6.06,0.13,0.0496,0.0828,0.08,1
0.9707,5.89,0.15,0.0296,0.0828,0.07,1
0.7407,4.24,0.17,0.0296,0.0328,0.07,1
0.9707,5.44,0.19,0.0396,0.0728,0.07,1
1.1207,6.0,0.38,0.0896,0.1328,0.19,1
0.7307,5.36,0.43,0.0396,0.0528,0.06,1
0.8807,6.25,0.39,0.0396,0.0728,0.08,1
1.1507,7.92,0.42,0.0796,0.0828,0.12,1
0.9707,7.21,0.24,0.0496,0.0928,0.06,1
0.8707,6.71,0.36,0.0396,0.0428,0.11,1
0.8107,4.95,0.3,0.0496,0.0828,0.1,1
0.6807,6.68,0.17,0.0496,0.1028,0.08,1
1.4907,7.37,0.54,0.1096,0.2028,0.16,1
0.7707,5.67,0.2,0.0396,0.0128,0.1,1
1.1207,7.5,0.44,0.0496,0.0528,0.16,1
1.1107,6.45,0.28,0.0396,0.0228,0.13,1
1.2407,6.11,0.27,0.0496,0.0228,0.1,1
1.2707,7.5,0.23,0.0496,0.0528,0.16,6
1.3507,7.08,0.47,0.0596,0.0628,0.2,6
1.0707,7.11,0.23,0.0496,0.0528,0.14,1
1.3607,7.82,0.44,0.0696,0.0728,0.19,6
1.1307,8.13,0.27,0.1096,0.0828,0.28,1
1.1507,7.7,0.31,0.0496,0.0628,0.14,6
1.0307,7.07,0.28,0.0496,0.0528,0.12,1
0.8707,8.57,0.15,0.0496,0.0828,0.09,1
0.7207,6.03,0.32,0.0496,0.0428,0.1,1
1.2707,9.87,0.26,0.0696,0.0728,0.11,1
0.7207,5.05,0.19,0.0696,0.0428,0.06,1
0.7607,7.41,0.16,0.0796,0.1328,0.05,1
0.5207,4.96,0.15,0.0296,0.0528,0.04,1
0.9007,6.14,0.14,0.0396,0.1028,0.05,1
1.2707,8.59,0.31,0.0696,0.1128,0.08,1
0.9507,6.62,0.17,0.0396,0.0928,0.03,1
0.7007,4.35,0.23,0.0296,0.0328,0.04,1
0.9107,5.35,0.16,0.0296,0.0628,0.04,1
0.8407,6.65,0.26,0.0296,0.0628,0.04,1
0.6207,5.12,0.19,0.0596,0.0828,0.09,1
0.8607,7.25,0.31,0.0496,0.1028,0.08,1
0.9907,6.63,0.53,0.0496,0.0728,0.06,1
0.9107,6.02,0.19,0.0496,0.0828,0.05,1
0.9107,6.58,0.28,0.0596,0.0928,0.04,1
0.8007,5.47,0.13,0.0496,0.0628,0.08,1
1.0607,7.04,0.28,0.0496,0.0728,0.1,1
0.9207,6.7,0.35,0.0496,0.1128,0.1,1
1.0707,5.66,0.2,0.0496,0.0928,0.08,1
1.0807,6.29,0.32,0.0396,0.0728,0.07,1
1.0207,4.95,0.41,0.0496,0.0828,0.1,1
0.7607,6.02,0.28,0.0496,0.0828,0.05,1
0.9207,6.32,0.22,0.0496,0.1128,0.06,1
1.7107,8.26,0.35,0.0496,0.1128,0.1,1
1.0807,6.3,0.11,0.0396,0.1528,0.06,1
0.7307,4.73,0.12,0.0396,0.0728,0.03,1
1.2707,8.8,0.36,0.0596,0.1428,0.11,1
0.7707,5.02,0.16,0.0296,0.0728,0.03,1
1.1507,4.58,0.44,0.0496,0.0328,0.13,1
0.7807,3.85,0.32,0.0396,0.0328,0.05,1
1.0007,5.13,0.38,0.0596,0.0528,0.11,1
1.5207,6.68,0.54,0.0896,0.0628,0.12,1
0.9907,5.69,0.48,0.0296,0.0528,0.09,1
0.9307,6.94,0.32,0.0396,0.0528,0.1,1
0.8307,5.65,0.3,0.0396,0.0428,0.11,1
0.9807,6.86,0.5,0.0396,0.0528,0.11,1
0.9107,6.26,0.46,0.0296,0.0428,0.09,1
0.6507,3.71,0.23,0.0296,0.0428,0.09,1
0.6407,5.8,0.2,0.0396,0.0528,0.07,1
0.5607,4.76,0.13,0.0296,0.0228,0.04,1
0.5507,4.6,0.12,0.0296,0.0328,0.08,2
0.6407,5.01,0.13,0.0496,0.0328,0.04,2
0.7507,5.44,0.22,0.0296,0.0428,0.08,1
0.3207,3.4,0.04,0.0296,0.0228,0.02,1
1.3407,6.8,0.33,0.0496,0.0628,0.15,1
0.9407,4.97,0.18,0.0396,0.0328,0.07,2
0.8307,5.81,0.2,0.0496,0.0528,0.09,2
1.2207,7.18,0.35,0.0596,0.0728,0.11,1
0.9207,6.92,0.23,0.0496,0.0428,0.1,2
1.0307,5.42,0.1,0.0296,0.0328,0.06,2
1.0607,6.79,0.27,0.0396,0.0828,0.09,1
1.1807,6.66,0.19,0.0496,0.0728,0.09,1
1.1707,4.86,0.33,0.0496,0.0328,0.1,2
1.2607,6.85,0.23,0.0496,0.0528,0.12,2
0.8107,5.49,0.39,0.0496,0.0428,0.07,1
1.0107,7.79,0.25,0.0496,0.0728,0.09,2
0.9207,6.84,0.27,0.0396,0.0628,0.13,1
0.5707,4.37,0.27,0.0296,0.0228,0.06,1
0.8207,6.45,0.2,0.0396,0.0528,0.07,2
0.9707,5.68,0.18,0.0196,0.0328,0.08,1
0.9207,5.09,0.14,0.0296,0.0428,0.06,2
0.7907,5.32,0.2,0.0296,0.0528,0.11,1
1.0807,5.98,0.24,0.0596,0.0428,0.12,1
1.1407,6.77,0.22,0.0596,0.0628,0.11,1
0.8307,4.1,0.21,0.0396,0.0128,0.09,1
1.1907,7.85,0.33,0.0596,0.0628,0.12,1
0.8907,5.08,0.15,0.0496,0.0228,0.09,1
1.0607,6.32,0.15,0.0396,0.0428,0.07,1
1.1307,6.48,0.28,0.0496,0.0428,0.13,1
1.0907,5.6,0.19,0.0596,0.0528,0.11,1
1.1107,7.04,0.37,0.0396,0.0428,0.15,3
1.0707,6.16,0.31,0.0396,0.0428,0.15,3
0.8207,4.32,0.27,0.0396,0.0328,0.15,1
0.7307,4.83,0.14,0.0296,0.0328,0.07,3
0.8807,5.09,0.16,0.0396,0.0328,0.09,3
0.9507,5.59,0.51,0.0396,0.0328,0.11,1
0.8907,4.48,0.09,0.0196,0.0528,0.09,1
0.4407,4.66,0.33,0.0296,0.0628,0.08,3
0.9807,6.73,0.34,0.0396,0.0428,0.15,3
1.1907,7.73,0.39,0.0396,0.0628,0.11,1
1.2707,7.67,0.38,0.0796,0.0728,0.18,1
1.0907,6.08,0.22,0.0596,0.0428,0.12,1
1.0407,5.9,0.25,0.0396,0.0328,0.15,1
1.3207,6.26,0.44,0.0696,0.0628,0.23,1
3.6907,6.97,0.26,0.0496,0.0528,0.17,3
1.0607,6.61,0.55,0.0796,0.0628,0.18,1
0.9507,6.68,0.36,0.0496,0.0528,0.11,3
0.6707,7.17,0.17,0.0496,0.0528,0.17,3
0.8807,5.48,0.38,0.0396,0.0328,0.12,1
1.1807,6.85,0.24,0.0596,0.0528,0.14,1
0.9507,6.73,0.3,0.0496,0.0928,0.15,1
1.0107,6.58,0.26,0.0396,0.0528,0.1,1
0.9207,3.62,0.14,0.0196,0.0128,0.05,1
0.8307,5.7,0.18,0.0396,0.0328,0.11,1
1.3007,6.47,0.21,0.0396,0.0428,0.12,1
0.8607,5.7,0.31,0.0396,0.0328,0.08,1
0.9107,7.17,0.34,0.0496,0.0328,0.11,1
0.8807,4.96,0.26,0.0396,0.0328,0.08,1
1.2607,6.95,0.19,0.0496,0.0428,0.11,1
1.2407,8.69,0.23,0.0396,0.0928,0.15,1
1.2007,7.67,0.3,0.0496,0.0528,0.1,1
0.8607,6.38,0.19,0.0296,0.0528,0.08,1
0.5807,3.69,0.15,0.0196,0.0328,0.05,1
1.0007,6.71,0.3,0.0396,0.0828,0.09,1
0.8707,7.34,0.29,0.0396,0.0428,0.11,1
0.8607,6.23,0.24,0.0496,0.0328,0.06,1
1.5807,6.9,0.14,0.0496,0.0628,0.12,1
0.9107,7.32,0.33,0.0396,0.0428,0.13,1
0.8807,7.15,0.41,0.0296,0.0728,0.09,1
1.0007,6.5,0.26,0.0296,0.0528,0.11,1
1.2507,8.06,0.48,0.0696,0.0628,0.15,1
1.1207,5.96,0.36,0.0296,0.0328,0.09,1
1.3507,6.5,0.35,0.0296,0.0428,0.11,1
0.9507,5.19,0.26,0.0396,0.0528,0.07,1
0.7507,5.41,0.21,0.0296,0.0328,0.08,1
1.1407,7.24,0.4,0.0596,0.0528,0.16,5
0.8207,4.66,0.31,0.0296,0.0228,0.06,1
0.7207,3.72,0.11,0.0496,0.0528,0.11,5
0.9407,5.35,0.27,0.0496,0.0628,0.13,1
1.0407,5.15,0.27,0.0596,0.0728,0.13,1
0.8607,5.13,0.05,0.0496,0.1428,0.08,5
0.7807,6.24,0.2,0.0496,0.0628,0.06,1
0.6207,6.95,0.03,0.0296,0.0828,0.01,1
0.7907,5.63,0.17,0.0396,0.0528,0.06,5
0.9507,8.16,0.24,0.0496,0.0928,0.08,1
1.2207,9.38,0.35,0.0596,0.1428,0.18,1
1.0407,8.77,0.18,0.0396,0.0828,0.08,1
0.7207,6.93,0.07,0.0396,0.0928,0.07,5
0.8707,6.99,0.34,0.0496,0.0428,0.1,1
1.0507,6.39,0.22,0.0496,0.0628,0.12,1
1.2107,6.04,0.12,0.0396,0.0828,0.09,5
0.9607,6.97,0.27,0.0496,0.0928,0.08,5
1.0707,10.17,0.18,0.0696,0.0928,0.09,5
0.7707,4.49,0.22,0.0496,0.0628,0.06,5
1.0707,5.79,0.11,0.0396,0.0828,0.1,5
0.9807,5.98,0.28,0.0396,0.0328,0.11,1
1.0207,6.48,0.33,0.0396,0.0328,0.08,1
1.2507,6.2,0.2,0.0396,0.0328,0.08,1
0.9507,6.45,0.28,0.0496,0.0328,0.08,1
0.9507,4.49,0.21,0.0296,0.0128,0.05,1
0.9707,5.61,0.13,0.0296,0.0628,0.12,1
0.9107,5.38,0.34,0.0396,0.0228,0.08,1
1.1207,5.85,0.2,0.0596,0.0228,0.09,1
0.9107,6.52,0.15,0.0596,0.0428,0.13,1
0.7307,6.27,0.27,0.0496,0.0428,0.09,1
0.8007,5.97,0.19,0.0396,0.0428,0.08,1
0.9307,5.18,0.19,0.0296,0.0328,0.09,1
1.1607,7.29,0.36,0.0496,0.0528,0.11,1
1.2607,6.91,0.41,0.0796,0.0528,0.13,1
0.8107,7.77,0.29,0.0796,0.0828,0.16,1
1.0507,5.6,0.27,0.0396,0.0428,0.12,1
0.7607,5.37,0.24,0.0396,0.0328,0.09,1
0.7607,6.34,0.21,0.0496,0.0428,0.1,1
0.4607,4.7,0.25,0.0396,0.0228,0.04,1
0.8307,4.83,0.18,0.0296,0.0328,0.08,1
0.7707,4.83,0.17,0.0296,0.0328,0.06,1
0.7307,7.77,0.3,0.0596,0.0728,0.09,1
1.2307,7.38,0.28,0.0596,0.0628,0.1,1
1.2207,6.25,0.18,0.0496,0.0328,0.1,1
1.0207,6.38,0.13,0.0396,0.0428,0.09,1
1.0407,7.76,0.27,0.0596,0.0628,0.13,1
0.8607,7.19,0.16,0.0396,0.0428,0.12,1
0.8807,6.71,0.17,0.0496,0.0928,0.07,1
0.9207,6.8,0.23,0.0396,0.0728,0.08,1
0.9807,6.66,0.26,0.0296,0.0928,0.08,1
0.8907,5.24,0.16,0.0496,0.0428,0.1,1
0.6807,4.36,0.13,0.0296,0.0528,0.07,1
0.8507,4.19,0.15,0.0396,0.0528,0.09,1
1.0707,6.26,0.16,0.0496,0.0628,0.08,1
0.6707,7.36,0.26,0.0596,0.1328,0.1,1
1.2507,4.59,0.18,0.0596,0.0528,0.08,1
0.8607,6.74,0.16,0.0396,0.0828,0.06,1
0.5807,5.39,0.13,0.0296,0.0628,0.04,1
1.0107,5.92,0.18,0.0496,0.0828,0.07,1
0.8407,5.99,0.39,0.0396,0.0928,0.08,1
0.6807,3.78,0.24,0.0396,0.0528,0.05,1
0.9907,7.22,0.38,0.0496,0.0928,0.08,1
0.6807,5.39,0.18,0.0496,0.0428,0.03,1
0.7407,5.12,0.22,0.0396,0.0528,0.05,1
1.0007,5.19,0.19,0.0396,0.0528,0.09,1
0.8407,7.54,0.2,0.0596,0.0628,0.09,1
0.8507,4.74,0.16,0.0296,0.0928,0.07,1
0.8007,4.99,0.23,0.0296,0.0728,0.05,1
0.8107,6.72,0.24,0.0496,0.1128,0.07,1
0.7307,6.28,0.18,0.0396,0.0528,0.05,1
0.7507,4.64,0.18,0.0396,0.0828,0.06,1
1.0107,7.21,0.22,0.0396,0.1228,0.08,1
0.9207,6.81,0.23,0.0396,0.1028,0.06,1
1.1407,6.77,0.12,0.0396,0.0428,0.11,1
0.8607,5.13,0.19,0.0396,0.0228,0.11,1
0.9407,5.74,0.18,0.0396,0.0228,0.08,1
0.8107,6.16,0.14,0.0396,0.0228,0.06,1
1.2707,6.86,0.53,0.0496,0.0428,0.13,1
0.8007,4.24,0.21,0.0296,0.0228,0.1,1
0.9307,6.7,0.22,0.0296,0.0328,0.12,1
0.8507,6.51,0.27,0.0396,0.0428,0.17,1
0.9307,6.09,0.25,0.0396,0.0428,0.14,1
0.6807,6.24,0.31,0.0696,0.0628,0.12,1
0.7007,5.63,0.24,0.0496,0.0228,0.1,6
1.2307,5.81,0.14,0.0396,0.0328,0.15,6
0.8607,7.52,0.23,0.0596,0.0528,0.09,1
1.1207,6.24,0.2,0.0396,0.0328,0.1,6
0.9707,4.78,0.23,0.0796,0.0428,0.17,1
0.6707,5.02,0.11,0.0496,0.0228,0.11,6
0.8307,5.91,0.16,0.0696,0.0728,0.12,1
1.1307,8.18,0.3,0.0596,0.0828,0.14,6
0.8107,5.83,0.18,0.0296,0.0428,0.1,6
1.0007,5.8,0.2,0.0296,0.0228,0.14,6
0.7107,5.36,0.22,0.0396,0.0328,0.11,6
1.0107,7.13,0.18,0.0296,0.0428,0.1,1
0.6707,6.44,0.06,0.0396,0.0528,0.04,1
0.8407,4.87,0.2,0.0496,0.0228,0.08,6
0.8407,7.99,0.25,0.0496,0.0528,0.1,1
0.9107,5.79,0.23,0.0596,0.0328,0.13,1
0.9007,7.13,0.22,0.0596,0.0628,0.12,1
0.4607,6.26,0.02,0.0396,0.0628,0.02,6
0.7307,5.57,0.26,0.0496,0.0428,0.1,1
0.8707,6.11,0.12,0.0696,0.0928,0.11,1
0.7607,5.99,0.18,0.0596,0.0628,0.08,1
0.9207,6.23,0.21,0.0496,0.0628,0.08,1
0.8707,8.11,0.39,0.0496,0.0828,0.13,1
1.6007,7.43,0.2,0.0596,0.0728,0.13,1
0.7907,6.44,0.32,0.0396,0.0528,0.12,1
0.9407,7.28,0.28,0.0496,0.0928,0.09,1
0.9907,5.33,0.12,0.0396,0.0528,0.06,1
0.8107,4.6,0.09,0.0296,0.0328,0.05,1
1.1107,5.2,0.24,0.0396,0.1128,0.05,1
0.8607,4.83,0.47,0.0396,0.0328,0.06,1
0.9307,6.25,0.27,0.0396,0.0728,0.06,1
1.1107,5.95,0.29,0.0396,0.0728,0.09,1
1.2007,7.46,0.34,0.0596,0.1128,0.09,1
0.4707,3.51,0.06,0.0296,0.0428,0.04,1
0.7107,6.25,0.22,0.0596,0.0928,0.07,1
0.9407,4.54,0.23,0.0396,0.1028,0.04,1
0.8707,4.56,0.16,0.0396,0.1128,0.04,1
0.9107,2.72,0.35,0.0196,0.0428,0.03,1
0.6307,3.01,0.17,0.0296,0.0428,0.02,1
0.7107,3.74,0.14,0.0196,0.0628,0.02,1
1.2407,5.96,0.63,0.0396,0.1328,0.1,1
0.8407,5.43,0.12,0.0396,0.1728,0.04,1
1.2207,6.2,0.3,0.0396,0.1228,0.05,1
0.8907,5.5,0.25,0.0296,0.1128,0.03,1
0.6907,7.05,0.35,0.0396,0.0328,0.09,1
0.8107,5.94,0.42,0.0396,0.0428,0.11,1
0.9907,5.89,0.36,0.0496,0.0428,0.15,1
0.9107,4.76,0.36,0.0296,0.0228,0.11,1
0.8607,5.99,0.18,0.0496,0.0328,0.11,1
0.5507,3.65,0.11,0.0296,0.0128,0.06,1
0.8507,5.97,0.31,0.0396,0.0328,0.1,1
1.2607,6.12,0.67,0.0296,0.0428,0.19,1
1.3207,6.41,0.26,0.0396,0.0428,0.13,1
1.0607,7.46,0.27,0.0396,0.0328,0.14,1
0.8207,7.24,0.25,0.0596,0.0528,0.17,1
1.1807,6.2,0.49,0.0296,0.0428,0.17,1
1.0907,6.24,0.22,0.0896,0.0828,0.16,1
0.8507,5.99,0.17,0.0396,0.0528,0.09,1
1.0007,7.11,0.27,0.0696,0.0628,0.09,1
0.7807,4.77,0.19,0.0196,0.0428,0.07,1
0.8207,6.48,0.36,0.0496,0.0728,0.1,1
0.8907,5.23,0.22,0.0396,0.0428,0.05,1
0.9107,6.43,0.24,0.0396,0.0828,0.13,1
1.3007,5.43,0.29,0.0496,0.0528,0.1,1
1.1607,5.87,0.21,0.0496,0.0528,0.14,1
0.5307,3.14,0.12,0.0196,0.0228,0.07,1
0.8607,6.21,0.37,0.0296,0.0428,0.1,1
1.0207,6.32,0.32,0.0396,0.0428,0.11,1
0.8707,5.6,0.22,0.0396,0.0228,0.1,1
1.1107,5.01,0.22,0.0296,0.0328,0.1,1
0.7007,4.0,0.15,0.0296,0.0228,0.07,1
0.9207,4.25,0.11,0.0296,0.0228,0.07,1
0.6307,3.49,0.16,0.0396,0.0328,0.1,1
0.5607,5.03,0.18,0.0296,0.0428,0.04,1
0.8407,5.6,0.34,0.0396,0.0328,0.12,1
0.7007,5.84,0.24,0.0396,0.0328,0.07,1
0.7307,5.32,0.17,0.0296,0.0528,0.09,1
0.9807,6.03,0.13,0.0296,0.0628,0.08,1
0.5807,3.38,0.15,0.0196,0.0228,0.04,1
0.7707,6.52,0.17,0.0696,0.0528,0.13,1
0.8007,6.76,0.25,0.0496,0.0328,0.1,1
0.6807,4.38,0.16,0.0296,0.0328,0.09,1
0.8607,7.21,0.19,0.0596,0.0728,0.13,1
1.2707,7.23,0.4,0.0696,0.0328,0.14,1
0.9407,6.39,0.28,0.0596,0.0328,0.1,1
0.8007,6.35,0.19,0.0396,0.0328,0.1,1
1.0107,6.02,0.34,0.0296,0.0428,0.07,1
0.8007,6.56,0.42,0.0296,0.0428,0.09,1
1.0007,5.05,0.29,0.0396,0.0328,0.09,1
0.8507,4.86,0.18,0.0496,0.0328,0.07,1
1.1907,6.57,0.29,0.0596,0.0328,0.14,1
0.8907,4.42,0.23,0.0396,0.0328,0.06,1
0.7407,5.27,0.35,0.0396,0.0328,0.08,1
1.1107,5.49,0.32,0.0396,0.0428,0.13,1
0.8507,7.05,0.27,0.0396,0.0528,0.1,1
0.7507,5.57,0.26,0.0496,0.0528,0.09,1
0.8307,6.97,0.26,0.0396,0.0528,0.1,1
0.9507,7.05,0.61,0.0596,0.0528,0.13,1
0.7907,4.33,0.21,0.0296,0.0328,0.11,1
0.7407,5.45,0.36,0.0496,0.0228,0.1,1
1.0507,5.63,0.45,0.0396,0.0328,0.1,1
0.7707,4.34,0.14,0.0196,0.0228,0.05,1
1.0507,5.68,0.25,0.0396,0.0328,0.11,1
0.8407,4.81,0.2,0.0296,0.0328,0.11,1
0.7107,4.23,0.25,0.0396,0.0228,0.11,1
0.7407,5.71,0.16,0.0196,0.0428,0.1,1
0.8407,6.26,0.2,0.0496,0.0328,0.1,1
0.7607,5.41,0.17,0.0296,0.0628,0.07,1
0.7607,5.78,0.24,0.0196,0.0428,0.09,1
0.8607,5.87,0.47,0.0296,0.0328,0.11,1
0.8607,5.22,0.26,0.0396,0.0428,0.1,1
1.1207,4.77,0.32,0.0396,0.0328,0.13,1
1.3707,6.31,0.33,0.0496,0.0328,0.17,1
1.1207,7.2,0.18,0.0396,0.0628,0.1,1
0.9507,5.06,0.12,0.0396,0.0328,0.1,1
0.8107,4.82,0.17,0.0196,0.0428,0.09,1
1.4007,6.53,0.39,0.0496,0.0428,0.19,1
1.3007,6.72,0.24,0.0296,0.0628,0.14,1
0.7007,5.73,0.1,0.0496,0.0428,0.06,1
1.3407,7.0,0.21,0.0596,0.0428,0.13,4
0.7807,4.59,0.16,0.0496,0.0428,0.07,4
